sample	fetch_over_scan.rDNA45S	fetch_over_scan.rDNA5S	fetch_over_scan.DJ	capture.rDNA45S	capture.rDNA5S	capture.DJ
HG00269	0.9998054522446604	0.9999074049578031	0.9975941422594142	0.999617	0.999897	0.997186
HG00271	0.999646056165298	0.9999820822781786	0.9977239809642044	0.999424	0.999912	0.997521
HG00272	0.9996841688066123	0.9999275834600623	0.9977871655602494	0.999635	0.99991	0.997815
HG00273	0.9996856005030392	0.9999373624583981	0.997733594313382	0.99961	0.999907	0.997662
HG00274	0.999606256335503	0.9999436489844009	0.9980009995002498	0.99962	0.999884	0.997892
HG00275	0.9995745377188677	0.9999419987239718	0.9978671541742838	0.999556	0.99983	0.997777
HG00276	0.9996679070786056	0.9997317342591132	0.9979105725031342	0.999492	0.999715	0.997638
HG00277	0.9997761486373048	0.9998946442399371	0.9979627177345421	0.999604	0.999762	0.997744
HG00278	0.9997090801622687	0.9999427902743466	0.9979400556184983	0.99961	0.999932	0.997824
HG00280	0.9998292367084156	1.0	0.997825411618515	0.999711	0.999983	0.997634
HG00281	0.9996823941220545	0.9998917102445601	0.9980406311230279	0.99942	0.999852	0.997643
HG00282	0.9996520313635732	0.9998709566414316	0.9978021978021979	0.999641	0.999857	0.99755
HG00284	0.999678002625517	0.9998161426732856	0.9977072984333207	0.999566	0.999776	0.997787
HG00285	0.9997428232249145	0.9998597448631557	0.997717605560743	0.999554	0.999843	0.997703
HG00288	0.9997089778556991	0.9998391670546408	0.9970441341351545	0.999545	0.999827	0.996986
HG00290	0.9995544328957721	0.9999094329680464	0.9978267618751939	0.999562	0.999896	0.997859
HG00304	0.9998320074192888	0.999941687561957	0.997928534438115	0.999601	0.999892	0.997728
HG00306	0.9997620267047422	0.9998886779266882	0.9979923922231615	0.999605	0.999893	0.997822
HG00308	0.9997544442362247	0.9999174662127308	0.9973187583788801	0.99953	0.999872	0.997052
HG00309	0.9996086694762192	0.9998937123949833	0.9978465955701393	0.999595	0.9999	0.997713
HG00310	0.9996669255056229	0.999897491469826	0.9972613855360585	0.999321	0.999819	0.99731
HG00311	0.9995534331861076	0.9999285152619916	0.9977183157021364	0.999525	0.999931	0.997726
HG00313	0.999731611100224	0.9999338460266269	0.9976366625565146	0.999607	0.999891	0.997493
HG00315	0.9996842428655955	0.9998940422515656	0.9976084017884994	0.999554	0.999885	0.997177
HG00318	0.9997697933895671	0.9999290468149115	0.9979345244242487	0.999646	0.999929	0.997977
HG00319	0.9996909209835902	0.9999243533934379	0.9980152512274104	0.99954	0.999916	0.997971
HG00320	0.9996403031345333	0.9999295489370696	0.9978717229370223	0.99958	0.999887	0.997724
HG00321	0.9997886303044322	0.9999151895513527	0.9982531853678587	0.999654	0.999864	0.998073
HG00323	0.9996297639978047	0.9999765292650725	0.9975346687211095	0.999627	0.999905	0.99749
HG00324	0.9996932999176291	0.9999449854211366	0.9979773462783172	0.999628	0.999921	0.997821
HG00325	0.9997200809993464	0.9998172618979636	0.9980055843637813	0.999565	0.999803	0.997886
HG00326	0.99974248268607	0.999964494940529	0.9978301301921884	0.999475	0.999915	0.997682
HG00327	0.9997659073285637	0.999856694662388	0.9979579334286296	0.999579	0.999842	0.997937
HG00328	0.9997336391713315	0.9999202703448615	0.9974584348194431	0.999578	0.99992	0.997057
HG00329	0.9995103755290844	0.9998209282238187	0.9976128903918837	0.999463	0.999811	0.997683
HG00330	0.9995408364537053	0.9998853463019405	0.99768615902398	0.999475	0.99989	0.99757
