sample	cls	assembly_Mb	assembly_gapped_Mb	ngsdose_Mb
HG00741	HSat2	28.886	20.298	52.8514
HG00741	HSat3	75.274	0.0	67.5505
HG00741	bSat	13.988	0.0	10.1468
HG00741	aSatHOR	152.849	0.0	148.8666
HG00741	ACRO	3.384	0.0	2.6301
HG00741	SST1	2.418	0.0	0.8181
HG00741	CER	2.0	0.0	0.8738
HG00741	SATR	2.732	0.0	0.2415
HG01071	HSat1A	28.418	0.0	22.1662
HG01071	HSat1B	3.15	0.0	2.6882
HG01071	HSat2	46.095	0.0	47.0594
HG01071	HSat3	60.79	0.015	54.6913
HG01071	bSat	13.253	0.0	9.4739
HG01071	aSatHOR	144.285	0.0	136.5729
HG01071	ACRO	4.314	0.0	3.5109
HG01071	SST1	2.043	0.0	0.6254
HG01071	CER	1.984	0.0	0.8438
HG01071	SATR	2.701	0.0	0.2215
HG01074	HSat1A	21.249	0.0	16.0334
HG01074	HSat1B	12.512	0.0	11.1025
HG01074	HSat2	23.972	7.718	48.4417
HG01074	HSat3	69.377	0.0	65.1646
HG01074	bSat	15.02	0.0	10.6929
HG01074	aSatHOR	146.036	0.0	136.5301
HG01074	ACRO	3.192	0.0	2.4654
HG01074	SST1	2.743	0.0	0.5762
HG01074	CER	1.967	0.0	0.8494
HG01074	SATR	2.722	0.0	0.245
HG01081	HSat1A	27.876	0.0	24.5403
HG01081	HSat1B	2.104	0.0	1.7294
HG01081	HSat2	54.209	2.83	64.7672
HG01081	HSat3	59.952	0.0	54.3887
HG01081	bSat	15.278	0.0	11.9131
HG01081	aSatHOR	137.929	0.0	137.7662
HG01081	ACRO	3.958	0.0	3.1746
HG01081	SST1	1.961	0.0	0.5423
HG01081	CER	1.951	0.0	0.8187
HG01081	SATR	2.7	0.0	0.2515
HG01099	HSat1A	22.263	0.0	19.2597
HG01099	HSat1B	11.498	0.0	10.0539
HG01099	HSat2	39.236	0.0	38.8027
HG01099	HSat3	73.679	0.0	67.1075
HG01099	bSat	17.973	0.0	13.2757
HG01099	aSatHOR	139.259	0.0	137.1957
HG01099	ACRO	3.909	0.0	3.0446
HG01099	SST1	2.698	0.0	0.5884
HG01099	CER	1.995	0.0	0.866
HG01099	SATR	2.75	0.0	0.2571
HG01106	HSat1A	11.133	0.0	15.2207
HG01106	HSat1B	18.813	0.0	16.6526
HG01106	HSat2	41.907	0.0	40.8887
HG01106	HSat3	85.166	0.0	75.4006
HG01106	bSat	14.211	0.0	9.3394
HG01106	aSatHOR	139.822	0.0	129.88
HG01106	ACRO	3.916	0.0	3.0313
HG01106	SST1	2.937	0.0	0.5427
HG01106	CER	2.042	0.0	0.8398
HG01106	SATR	2.722	0.0	0.2342
HG01150	HSat1A	22.036	0.0	18.8147
HG01150	HSat1B	1.947	0.0	1.6356
HG01150	HSat2	33.767	0.0	53.0268
HG01150	HSat3	58.636	0.0	50.4461
HG01150	bSat	17.506	0.0	13.2109
HG01150	aSatHOR	146.396	0.0	143.2343
HG01150	ACRO	3.405	0.0	2.552
HG01150	SST1	1.926	0.0	0.5748
HG01150	CER	1.913	0.0	0.773
HG01150	SATR	2.76	0.0	0.2593
HG01167	HSat1A	20.061	0.0	16.635
HG01167	HSat1B	16.41	0.0	14.8096
HG01167	HSat2	50.14	0.0	49.2522
HG01167	HSat3	87.27	0.244	91.8613
HG01167	bSat	14.158	0.0	9.7924
HG01167	aSatHOR	142.897	0.0	143.4789
HG01167	ACRO	3.423	0.0	2.7674
HG01167	SST1	2.898	0.0	0.5423
HG01167	CER	1.962	0.0	0.8787
HG01167	SATR	2.733	0.0	0.2634
HG01175	HSat1A	18.568	0.0	17.3488
HG01175	HSat1B	1.957	0.0	1.6177
HG01175	HSat2	44.596	2.929	53.7022
HG01175	HSat3	61.021	0.0	53.9826
HG01175	bSat	15.892	0.0	11.8527
HG01175	aSatHOR	148.256	0.0	148.4175
HG01175	ACRO	3.66	0.0	2.8711
HG01175	SST1	2.322	0.0	0.7207
HG01175	CER	2.043	0.0	0.8896
HG01175	SATR	2.714	0.0	0.2305
HG01192	HSat1A	30.448	0.0	25.6133
