child	father	mother	population	rDNA45S.cn.child	rDNA45S.cn.father	rDNA45S.cn.mother	rDNA45S.cn_single.child	rDNA45S.cn_single.father	rDNA45S.cn_single.mother	rDNA45S.18S.flat.child	rDNA45S.18S.flat.father	rDNA45S.18S.flat.mother	rDNA5S.cn.child	rDNA5S.cn.father	rDNA5S.cn.mother	HSat1A.mass_Mb.child	HSat1A.mass_Mb.father	HSat1A.mass_Mb.mother	HSat1B.mass_Mb.child	HSat1B.mass_Mb.father	HSat1B.mass_Mb.mother	HSat2.mass_Mb.child	HSat2.mass_Mb.father	HSat2.mass_Mb.mother	HSat3.mass_Mb.child	HSat3.mass_Mb.father	HSat3.mass_Mb.mother	bSat.mass_Mb.child	bSat.mass_Mb.father	bSat.mass_Mb.mother	aSatHOR.mass_Mb.child	aSatHOR.mass_Mb.father	aSatHOR.mass_Mb.mother	ACRO.mass_Mb.child	ACRO.mass_Mb.father	ACRO.mass_Mb.mother	SST1.mass_Mb.child	SST1.mass_Mb.father	SST1.mass_Mb.mother	CER.mass_Mb.child	CER.mass_Mb.father	CER.mass_Mb.mother	SATR.mass_Mb.child	SATR.mass_Mb.father	SATR.mass_Mb.mother	TEL.mass_Mb.child	TEL.mass_Mb.father	TEL.mass_Mb.mother	truth.auto.child	truth.auto.father	truth.auto.mother	DJ.cn.child	DJ.cn.father	DJ.cn.mother	chrM.copies.child	chrM.copies.father	chrM.copies.mother	chrEBV.copies.child	chrEBV.copies.father	chrEBV.copies.mother	depth.child	depth.father	depth.mother	ctrl_dup_frac.child	ctrl_dup_frac.father	ctrl_dup_frac.mother	gc_rel_65.child	gc_rel_65.father	gc_rel_65.mother	insert_median.child	insert_median.father	insert_median.mother
HG01189	HG01187	HG01188	PUR	591.89	420.14	679.67	583.707	423.733	676.191	675.76	454.85	783.57	337.49	194.02	252.22	19.9858	16.1874	19.6376	9.4112	9.2442	2.0551	52.7804	56.3549	44.4115	60.9704	56.4702	45.5641	10.3371	10.5242	10.1078	134.0779	139.9403	141.7305	2.5537	2.6105	2.1377	0.6211	0.6577	0.69	0.8368	0.8018	0.8066	0.2521	0.2524	0.2329	0.4619	0.2167	0.6783	1.9971	2.0019	1.9911	9.67	9.52	9.62	730.2997	755.7828	623.8787	61.3387	68.7709	85.0648	37.571	37.24	36.548	0.0997	0.0784	0.1037	1.2363	1.1368	1.2482	447.0	437.0	433.0
HG01192	HG01190	HG01191	PUR	456.92	446.33	487.38	454.051	442.615	484.478	516.4	513.0	497.65	155.66	225.19	151.96	25.6133	22.7655	23.8103	10.7918	10.4043	1.4477	45.6062	49.0073	39.3953	64.6205	54.5321	54.65	6.6663	7.8311	7.6602	136.7475	141.7433	152.9464	2.0841	2.9374	2.2932	0.8192	0.7047	0.6594	0.7911	0.7919	0.7732	0.2177	0.2245	0.2111	0.2667	0.3499	0.3529	1.9959	2.0003	2.0137	9.68	9.79	9.73	684.5741	733.8348	1093.3106	29.7523	30.9344	62.7749	35.304	37.927	38.738	0.0624	0.101	0.0925	1.2337	1.2552	1.105	442.0	439.0	435.0
HG01199	HG01197	HG01198	PUR	380.3	417.35	412.67	376.911	418.05	411.875	453.27	429.68	475.29	248.24	187.89	186.98	19.8617	16.5818	21.1085	15.5648	15.5467	1.3942	42.7775	50.3839	43.052	79.327	76.0843	56.2595	13.8133	12.5252	11.956	138.7741	145.0736	144.9435	3.0076	3.3962	3.4034	0.6023	0.4875	0.7406	0.8574	0.9306	0.8354	0.2403	0.2377	0.2486	0.3147	0.3105	0.4068	1.9894	1.9982	1.9949	9.7	10.18	9.76	672.9122	624.6178	1023.8165	26.715	49.5618	56.1742	39.011	36.038	37.741	0.083	0.0797	0.1124	1.295	1.0983	1.2308	437.0	437.0	444.0
HG01206	HG01204	HG01205	PUR	319.31	293.86	494.56	319.607	293.488	490.635	364.01	330.81	574.71	171.01	244.04	147.83	11.7752	12.1794	16.7372	10.2174	9.9336	2.4914	65.6688	55.1906	65.5181	70.1464	72.1325	68.9423	10.1103	9.9976	9.7061	133.8652	145.8854	142.6716	2.2128	3.2085	2.8325	0.4382	0.6877	0.7029	0.6786	0.7786	0.8319	0.2154	0.2254	0.2314	0.3756	0.4362	0.5774	1.9884	2.0032	2.0034	7.68	7.67	10.24	679.0182	890.0627	798.0513	19.2036	30.2946	32.2846	35.881	34.458	41.968	0.0646	0.0815	0.0862	1.2284	1.2203	1.2343	445.0	421.0	419.0
HG01243	HG01241	HG01242	PUR	517.84	513.97	415.44	514.339	512.381	413.072	579.1	570.01	488.43	292.87	217.56	239.45	14.8786	16.719	17.0547	6.2766	7.1643	0.8093	37.8224	42.0598	38.1617	69.7699	62.0489	58.1764	12.644	11.8463	10.7267	129.5206	135.888	149.1722	2.5533	2.846	2.4646	0.4795	0.5535	0.5495	0.8005	0.8009	0.8162	0.2546	0.2651	0.2486	0.4129	0.9724	0.4055	1.9955	1.9921	1.9943	9.87	9.34	9.52	1080.6293	823.9993	660.9697	22.3061	54.4887	13.3141	36.301	37.887	36.834	0.0676	0.067	0.0918	1.1958	1.1531	1.2843	438.0	428.0	427.0
HG01249	HG01110	HG01111	PUR	502.06	529.48	574.23	496.449	528.771	566.353	561.69	592.1	638.62	132.77	209.06	153.55	15.1875	15.3458	20.9964	1.5135	8.7944	1.491	50.8762	41.5462	52.8379	53.7775	66.2147	55.8885	9.1982	12.6509	10.2074	144.7329	149.9456	155.3639	2.2877	1.7589	2.4903	0.7082	0.4038	0.6527	0.7562	0.7649	0.8823	0.2171	0.2118	0.2333	0.5062	0.6619	0.4788	2.0095	1.9973	1.9987	9.75	9.38	10.33	768.0992	549.2468	743.8802	21.4881	67.8167	15.733	34.728	41.203	33.65	0.0654	0.0641	0.0721	1.2168	1.1799	1.1993	433.0	433.0	431.0
HG01252	HG01250	HG01251	CLM	569.17	424.91	653.91	561.252	423.964	643.511	668.69	490.82	741.02	233.67	223.66	141.84	19.3957	22.096	15.1367	11.6213	12.5213	1.7777	36.2735	43.1785	47.0237	67.3711	79.2005	67.1381	11.4765	11.3363	12.7211	134.5844	156.0016	131.5705	3.2575	2.704	3.3861	0.5752	0.7409	0.5515	0.8524	0.8781	0.8237	0.2522	0.2507	0.2424	0.5684	0.5045	0.5166	1.9886	2.0135	1.9896	9.62	9.59	9.57	769.2656	896.66	763.1915	55.5175	9.8749	28.4039	39.079	41.833	36.006	0.0722	0.0819	0.0996	1.2787	1.2653	1.2394	446.0	428.0	434.0
HG01255	HG01253	HG01254	CLM	379.68	432.37	386.76	375.552	428.689	385.306	451.66	503.03	431.54	164.97	172.27	141.21	15.1693	14.0841	20.2456	9.5175	9.5347	2.085	49.614	63.6297	43.3973	69.857	81.1538	48.0187	11.0792	10.72	11.9048	141.5333	145.1606	146.2592	2.6042	3.2805	2.3631	0.6974	0.5852	0.575	0.7406	0.831	0.7555	0.2506	0.2518	0.2398	0.5252	0.7166	0.4216	1.999	1.9937	2.0064	9.5	9.67	9.34	809.7498	699.4583	651.3621	128.2677	92.9058	33.6934	39.071	37.753	42.444	0.0671	0.0795	0.0622	1.2951	1.2684	1.1915	438.0	405.0	437.0
HG01258	HG01256	HG01257	CLM	548.16	298.31	712.57	543.929	295.328	708.303	639.17	345.35	821.6	145.87	146.96	181.82	13.9683	17.9763	13.3319	9.0094	8.5217	1.5934	51.8251	47.7681	52.6684	61.1451	66.2516	48.2263	11.5624	9.5971	12.3547	139.5185	137.7002	144.8529	2.77	2.4873	2.9737	0.6693	0.7187	0.7371	0.8641	0.841	0.8923	0.2535	0.2391	0.2477	0.3085	0.6327	0.3133	1.9966	1.9899	2.0047	9.7	9.6	9.76	761.236	764.2114	723.5146	89.5432	24.2135	24.1416	38.751	40.398	37.043	0.076	0.0791	0.1017	1.2679	1.2319	1.259	443.0	425.0	432.0
HG01261	HG01259	HG01260	CLM	525.66	443.43	572.87	520.915	445.74	566.587	636.94	456.47	662.04	144.91	153.11	158.56	19.1851	19.6196	22.3894	12.091	11.0467	1.5841	55.3305	45.7544	62.6914	86.0508	64.416	62.1691	12.8995	9.655	11.2027	145.183	142.894	139.1637	3.2206	2.7459	2.7685	0.6819	0.6197	0.4057	0.8513	0.8151	0.8701	0.2675	0.2308	0.241	0.3913	0.5534	0.4327	2.0015	1.9887	1.9979	9.68	10.34	9.51	657.6376	837.3014	599.8637	12.4753	33.0618	34.9783	38.491	37.995	41.944	0.0702	0.0857	0.0956	1.3305	1.147	1.2458	449.0	441.0	430.0
HG01273	HG01271	HG01272	CLM	493.72	544.84	360.29	486.821	547.653	394.573	576.31	599.18	406.29	183.57	202.58	313.14	19.5277	24.4992	22.4212	13.409	12.9189	1.4456	59.927	56.9855	40.3253	83.1303	76.6474	53.0235	10.1827	9.9561	9.1262	133.5966	133.3254	138.2504	2.768	3.0813	2.4923	0.5547	0.7235	0.7246	0.8367	0.8155	0.7617	0.2499	0.247	0.2202	0.537	0.3572	0.6979	2.0116	1.9948	2.0061	10.1	10.44	9.43	792.704	862.1649	698.4817	45.6183	245.8347	55.971	37.96	39.713	36.87	0.0697	0.107	0.0994	1.3045	1.2715	1.2558	451.0	438.0	424.0
HG01276	HG01274	HG01275	CLM	375.91	435.55	396.0	371.83	433.739	388.673	416.91	508.03	438.13	174.27	187.56	193.26	13.4873	13.1462	15.096	1.2731	9.9916	1.7542	44.2678	50.2932	48.1784	53.6835	68.6414	47.9428	10.0882	9.7522	9.3161	146.68	134.9085	149.2533	2.9821	3.3789	3.188	0.5681	0.5876	0.7301	0.9123	0.9428	0.9269	0.2314	0.2354	0.2236	0.4789	0.5386	0.3097	1.9982	1.9959	1.998	9.86	9.87	9.68	662.7675	820.783	706.9826	19.3352	29.4633	170.2937	34.378	37.852	37.07	0.0688	0.0954	0.1133	1.1952	1.2557	1.1869	437.0	438.0	446.0
HG01279	HG01277	HG01278	CLM	520.14	531.63	507.41	515.805	528.932	504.425	573.99	633.57	597.43	148.31	123.43	181.34	16.7226	18.2966	18.3337	1.2886	11.7393	1.1319	49.3143	55.1333	38.4233	41.7626	54.4416	55.3848	10.2737	10.5729	9.0712	153.6608	143.7651	149.4649	3.0778	2.8929	2.4712	0.5895	0.6995	0.5197	0.8359	0.9114	0.7893	0.2468	0.2617	0.2284	0.3534	0.325	0.5896	2.0125	1.986	2.016	9.59	9.76	9.5	669.6869	676.4659	781.5543	48.4471	23.0726	38.9706	34.706	36.166	37.172	0.0727	0.0951	0.066	1.202	1.3057	1.3268	444.0	434.0	445.0
HG01343	HG01341	HG01342	CLM	372.79	460.62	314.0	370.362	462.258	317.067	438.29	504.07	366.78	233.01	174.05	180.73	18.6585	20.8043	22.7989	1.4192	9.9199	1.6248	45.6937	51.0874	40.1647	52.7981	62.3428	57.0822	9.7148	10.8426	10.927	145.558	143.6778	153.5078	3.0225	3.2729	2.654	0.6701	0.464	0.6414	0.8301	0.838	0.9241	0.261	0.2333	0.2578	0.5483	0.4709	0.376	2.0094	1.9997	1.9893	9.57	9.59	9.64	706.866	732.9367	530.5291	61.3995	116.3191	57.3213	37.543	37.86	35.386	0.0734	0.1026	0.1006	1.264	1.2066	1.2748	448.0	447.0	430.0
HG01346	HG01344	HG01345	CLM	460.96	506.07	373.51	456.121	513.925	368.899	521.17	563.01	436.89	136.49	89.74	196.65	16.127	19.4389	17.1006	1.863	12.5631	1.2908	51.3968	59.8674	52.734	57.7078	79.8815	56.6456	12.6115	11.0836	14.4892	131.3653	140.2313	135.1067	2.8211	3.0898	2.5543	0.7023	0.5623	0.7939	0.8242	0.8514	0.8672	0.2473	0.255	0.2472	0.466	0.4704	0.4658	2.0021	2.0013	1.996	9.77	9.76	9.72	770.553	1411.1545	854.9073	17.6294	60.1633	33.5987	37.906	38.76	36.801	0.0796	0.0846	0.096	1.2618	1.239	1.2666	447.0	430.0	422.0
HG01349	HG01347	HG01348	CLM	785.29	734.68	659.07	765.066	721.199	656.192	873.77	854.28	717.02	125.9	141.3	169.49	13.3961	19.6222	14.3139	1.0636	9.3726	1.4627	39.7638	41.3896	53.5846	61.0195	73.5642	58.7498	10.227	10.4279	9.0717	147.7003	146.5414	144.0972	2.5021	2.6154	2.087	0.5372	0.4519	0.6006	0.8858	0.8355	0.8836	0.2491	0.2396	0.243	0.4172	0.4094	0.3593	2.0011	1.9907	2.0084	9.75	9.6	9.75	641.6784	590.7273	622.1631	32.0208	15.3533	31.6958	37.38	36.951	40.304	0.089	0.0864	0.1191	1.2198	1.2524	1.2021	443.0	437.0	446.0
HG01352	HG01350	HG01351	CLM	356.49	399.13	423.24	355.583	397.911	423.462	391.44	453.56	466.46	122.62	57.4	186.16	21.0317	17.3461	21.5011	1.5945	10.4291	2.0505	51.4409	56.2731	53.9689	57.7656	62.1527	55.3052	9.052	10.3171	10.2321	148.5821	135.7485	150.521	3.1698	3.1102	3.3995	0.5666	0.5498	0.5556	0.8112	0.8331	0.8131	0.2462	0.2642	0.2409	0.4711	0.4641	0.2919	2.0017	1.9857	2.0017	9.65	10.03	9.56	565.727	582.239	676.1516	94.5549	243.8398	78.992	36.225	37.086	35.088	0.0587	0.1003	0.0581	1.2127	1.2724	1.1505	445.0	424.0	440.0
HG01355	HG01353	HG01354	CLM	403.41	472.59	411.69	403.571	459.64	407.909	469.52	537.94	473.0	196.77	281.64	118.42	14.8071	17.7457	13.34	1.8265	8.9261	2.0348	40.3287	38.4188	41.8412	59.8392	76.6672	53.4591	13.6553	9.7002	15.2105	134.4044	141.4083	145.302	3.6344	3.6001	3.3209	0.622	0.6808	0.6297	0.8034	0.7995	0.8877	0.2818	0.2581	0.2721	0.4793	0.2618	0.43	1.9968	1.985	1.9984	9.67	9.6	9.52	758.711	639.1333	645.9357	138.0872	14.2284	12.3758	37.982	51.492	40.001	0.0729	0.0756	0.078	1.2536	1.2543	1.2337	440.0	429.0	432.0
HG01358	HG01356	HG01357	CLM	534.86	512.88	502.57	528.542	511.567	496.562	596.07	569.2	560.08	216.77	289.23	138.13	15.7137	17.7392	15.4454	10.7258	10.7229	1.8124	58.9881	42.0569	53.1853	68.4782	77.8658	47.8093	10.8153	9.6215	12.0993	131.2117	144.8568	128.7812	3.2265	3.521	2.5216	0.5234	0.5715	0.5231	0.74	0.8188	0.816	0.2491	0.2433	0.2402	0.5646	0.5385	0.2126	1.9928	2.0069	2.0445	9.63	9.44	9.63	1026.296	660.6813	951.8115	14.6725	37.168	73.5426	39.817	38.513	34.216	0.1031	0.0855	0.057	1.2044	1.2116	1.1785	444.0	432.0	438.0
HG01361	HG01359	HG01360	CLM	394.64	474.13	472.6	397.596	490.992	466.977	456.43	543.08	552.21	145.86	190.79	170.26	15.4574	10.6686	22.1696	1.242	11.0783	1.3827	50.5418	38.9969	62.4193	59.1131	71.146	53.2815	9.7685	11.8132	9.3877	139.2136	129.0099	145.1616	3.5124	2.6418	3.3845	0.4298	0.4834	0.6057	0.8541	0.8444	0.8029	0.2511	0.2295	0.2558	0.8251	0.4102	0.4683	1.9937	2.0016	2.0007	9.95	10.06	9.77	827.1777	713.0214	669.5912	106.7034	82.3585	62.2332	39.066	36.589	36.71	0.0701	0.1021	0.097	1.3116	1.2573	1.286	441.0	435.0	410.0
HG01367	HG01365	HG01366	CLM	510.5	452.88	538.76	514.018	448.238	532.605	581.6	505.23	620.97	160.26	191.53	113.8	16.66	26.4827	20.0563	1.0324	10.8841	1.1078	50.0512	68.6501	45.6058	51.6674	62.7774	58.3833	11.1693	12.695	10.0836	140.0831	150.079	136.157	3.4538	3.2001	3.8221	0.7567	0.6694	0.8033	0.8468	0.895	0.8487	0.2371	0.2513	0.2288	0.5338	0.3948	0.4221	1.9913	1.996	2.0119	9.36	9.67	10.03	815.5334	600.5517	716.6691	262.5357	114.9691	21.9756	35.259	38.757	36.877	0.0633	0.0835	0.1094	1.221	1.2078	1.2913	444.0	448.0	407.0
HG01376	HG01374	HG01375	CLM	614.19	549.88	562.01	603.054	549.231	559.501	683.98	619.55	612.74	147.8	141.18	177.05	16.5111	18.234	15.9016	0.972	11.1458	1.4969	43.7723	47.7344	39.716	44.8072	59.2097	48.1654	10.3688	12.7582	10.2378	141.5985	140.2455	146.5237	3.2201	2.6874	3.0737	0.5307	0.5868	0.4591	0.8145	0.8506	0.7952	0.2416	0.2475	0.2342	0.4894	0.3591	0.2893	1.9956	1.9972	1.9995	9.8	9.64	9.5	873.5497	920.5486	618.409	39.2619	14.1275	62.8942	37.547	39.205	36.398	0.1042	0.1012	0.1022	1.1922	1.2295	1.2066	438.0	439.0	439.0
HG01379	HG01377	HG01378	CLM	552.02	410.88	517.99	553.445	416.253	518.289	640.02	464.67	577.37	212.36	253.01	128.97	18.9498	13.0462	16.4693	1.8312	7.1287	1.66	57.873	47.4426	48.007	57.4373	71.454	57.104	12.4218	12.6935	12.0108	132.4933	133.9965	126.2895	2.9687	3.8015	2.7353	0.639	0.7428	0.6019	0.8048	0.8884	0.8565	0.2393	0.2418	0.2496	0.5983	0.679	0.8884	2.0044	2.0063	2.0018	10.0	9.91	9.66	763.1626	982.265	942.3281	155.2498	40.3622	26.5212	38.24	40.207	49.807	0.0704	0.1144	0.0832	1.3033	1.2527	1.2227	454.0	445.0	429.0
HG01385	HG01383	HG01384	CLM	458.82	472.45	297.28	465.655	467.754	297.807	506.25	511.55	317.19	165.75	178.96	126.58	17.6533	14.3747	15.1629	1.5848	10.8831	1.0713	48.233	42.7789	53.2805	65.0598	72.2629	40.9496	14.4159	10.854	10.2743	137.0179	123.069	129.0457	3.4883	3.7436	2.7975	0.4946	0.6924	0.4881	0.8926	0.8373	0.8512	0.2346	0.2237	0.2257	0.3276	0.1781	0.2379	1.9905	2.0006	1.9933	9.95	9.83	9.89	751.8167	702.1903	720.996	52.4533	46.4978	21.8935	35.456	39.027	35.989	0.0597	0.0883	0.0625	1.2324	1.2281	1.1553	451.0	443.0	429.0
HG01391	HG01389	HG01390	CLM	543.5	530.79	441.92	535.38	529.625	440.458	612.33	542.86	493.67	167.38	157.92	220.28	17.9806	18.6867	16.0854	1.1583	10.7944	1.3169	58.5005	58.9009	49.6314	54.9106	59.4073	52.1413	10.7187	10.2773	10.8643	138.2866	137.5616	140.4732	2.8237	3.1974	2.7652	0.7439	0.6847	0.7	0.8455	0.7984	0.8806	0.248	0.2417	0.2439	0.6522	0.8214	0.3172	1.9837	1.9802	1.9875	9.77	9.58	9.47	602.4306	622.894	646.4209	25.9019	12.7493	9.3091	37.619	35.264	39.157	0.0881	0.0824	0.1156	1.2164	1.1095	1.2292	444.0	435.0	445.0
HG01433	HG01431	HG01432	CLM	552.34	427.15	348.97	546.549	422.995	344.648	639.95	470.91	396.11	187.91	174.56	198.31	14.9257	18.586	19.5219	20.125	19.5183	1.4689	59.4386	55.2967	53.7353	85.6665	82.5613	70.6009	12.1513	10.632	10.8738	146.4319	127.1172	157.0868	3.2728	3.3559	2.8676	0.6598	0.5612	0.5392	0.8737	0.8572	0.8972	0.2555	0.2392	0.2603	0.3265	0.3805	0.6867	2.0069	1.9851	2.0041	9.74	9.89	9.46	756.2783	896.6534	661.9037	23.4391	12.8069	139.7062	40.025	37.006	33.742	0.0728	0.101	0.1002	1.2914	1.2401	1.2518	444.0	431.0	444.0
HG01439	HG01437	HG01438	CLM	513.84	489.49	352.11	503.682	491.99	350.909	579.48	546.53	393.29	218.08	191.0	231.14	16.7012	16.8637	16.0929	1.575	14.7968	1.7978	51.9929	58.5331	43.3749	51.4307	74.6445	50.2034	12.227	12.209	11.6709	137.3293	154.1519	133.404	2.4557	2.7576	2.5387	0.5344	0.5346	0.5213	0.7759	0.8945	0.8438	0.253	0.2402	0.2368	0.467	0.346	0.6507	2.0012	2.0152	1.9967	9.54	8.74	9.75	720.4164	542.0487	658.9723	36.8709	61.4066	36.6617	38.078	38.2	39.39	0.0758	0.1111	0.1116	1.269	1.2797	1.2227	435.0	443.0	439.0
HG01457	HG01455	HG01456	CLM	393.96	386.68	339.3	395.505	399.612	341.626	428.04	439.22	342.94	174.74	215.82	189.05	14.7271	13.4623	16.876	12.713	12.7963	1.5565	49.2364	48.348	48.3312	68.6028	70.5967	48.4167	11.5594	13.0602	11.5472	142.209	137.9586	136.0543	1.9717	2.2927	1.9769	0.5088	0.6358	0.5174	0.7486	0.8243	0.8353	0.2185	0.2252	0.2252	0.4812	0.3939	0.4651	2.0212	1.9931	1.994	9.61	9.46	10.04	1117.49	601.3901	484.8544	102.0222	23.2165	34.3568	35.247	35.977	38.048	0.0651	0.1001	0.1377	1.1902	1.292	1.1999	441.0	449.0	441.0
HG01463	HG01461	HG01462	CLM	510.48	580.88	428.77	503.596	570.36	421.591	593.34	664.39	490.99	229.44	168.04	192.13	20.6449	15.6219	20.6072	1.6994	10.9547	2.1215	37.4237	32.3699	46.2438	61.1183	69.5544	65.4149	11.1662	12.3239	9.6781	147.502	148.3268	140.2225	3.4887	3.8793	2.9893	0.6584	0.5895	0.6782	0.8557	0.8786	0.8325	0.2428	0.2434	0.25	0.4951	0.4144	0.3881	2.0	2.0068	1.9951	10.29	10.24	9.44	589.9135	750.348	742.3658	32.0408	30.3184	42.2487	36.9	37.887	37.729	0.078	0.1061	0.0975	1.2476	1.2113	1.253	444.0	424.0	426.0
HG01466	HG01464	HG01465	CLM	653.15	681.37	552.78	653.827	668.342	553.935	739.86	785.31	631.02	208.79	232.3	176.58	17.086	18.9713	16.9864	1.7563	10.0789	1.9525	49.8765	64.1233	52.3378	54.1365	61.7435	56.8701	11.4677	11.5671	11.7531	146.4717	128.1192	156.9182	2.8559	3.2452	2.7236	0.4868	0.5364	0.4848	0.8695	0.9008	0.8961	0.2539	0.244	0.2549	0.3534	0.32	0.6998	1.9999	2.0068	1.9826	9.65	9.68	9.75	703.4466	694.4279	539.0005	58.4082	49.8535	17.9752	35.412	38.561	35.648	0.0744	0.1058	0.0969	1.2304	1.2357	1.277	442.0	421.0	435.0
HG01490	HG01488	HG01489	CLM	394.76	437.54	385.29	396.704	439.682	388.744	437.39	484.68	455.08	200.66	212.13	217.49	20.0185	20.7849	18.0172	1.3301	10.9306	1.8539	57.2246	60.0106	47.1255	60.3746	72.258	45.3869	13.2289	12.4097	11.5691	166.6575	146.726	133.8394	2.3074	2.2681	2.3747	0.5704	0.4266	0.6246	0.8064	0.8379	0.9266	0.236	0.2396	0.2546	0.22	0.3721	0.2187	1.9911	2.005	1.9914	9.65	9.33	9.8	563.557	654.2317	711.439	93.5467	21.1786	12.7365	34.662	38.85	34.777	0.0631	0.1132	0.105	1.2278	1.2123	1.2986	442.0	444.0	425.0
HG01493	HG01491	HG01492	CLM	484.59	528.58	460.63	483.332	527.659	464.971	536.88	627.3	525.08	257.16	260.81	206.33	17.8116	16.7596	17.6793	1.4227	9.9557	1.9619	42.434	50.1812	40.9243	55.6853	71.5098	62.7997	10.699	9.554	13.858	133.9361	138.1897	147.8899	3.3367	3.0341	2.9679	0.8015	0.7594	0.5449	0.7562	0.7794	0.8654	0.2442	0.2486	0.2567	0.6024	0.5505	0.4221	1.9971	1.9905	2.0029	9.61	9.59	9.72	623.2321	644.9177	529.9752	60.5125	29.2247	48.0852	35.984	53.182	37.223	0.0788	0.1006	0.1072	1.1861	1.2862	1.2696	434.0	415.0	442.0
HG01496	HG01494	HG01495	CLM	383.86	421.45	334.56	380.892	420.29	332.269	415.68	475.63	373.31	129.51	140.4	162.89	19.0429	16.0382	20.2688	1.6445	13.1845	1.0993	61.9667	43.8578	46.4056	60.7601	81.7462	53.6259	10.583	11.493	8.0647	159.9658	147.6455	126.4628	2.5663	2.5673	2.0974	0.69	0.6563	0.6778	0.7488	0.8501	0.8436	0.2373	0.2352	0.2288	0.7625	0.6443	0.9363	1.9902	2.005	2.0008	9.64	9.65	11.09	514.3485	540.662	874.8724	29.0806	12.4793	31.7544	34.9	37.546	35.643	0.0668	0.0975	0.0992	1.2083	1.2634	1.2961	442.0	450.0	437.0
HG01499	HG01497	HG01498	CLM	562.2	717.05	344.09	566.113	723.255	351.532	605.09	811.85	408.04	172.14	151.16	207.03	21.9416	21.7975	24.3567	10.701	11.4815	1.9166	51.7091	58.2918	60.347	67.6929	75.9584	49.6295	10.6847	11.06	11.4129	121.414	139.0384	145.6628	2.8402	2.6666	2.9748	0.4389	0.6679	0.4781	0.8889	0.887	0.8068	0.2449	0.2333	0.2301	0.5958	0.4306	0.4736	1.9938	1.9941	1.9971	10.14	9.7	9.4	700.7226	689.6899	631.8149	34.8165	26.9888	32.1706	33.049	36.032	35.55	0.1638	0.0972	0.0994	1.1238	1.2799	1.2924	429.0	437.0	431.0
HG01502	HG01500	HG01501	IBS	550.24	470.09	559.46	543.057	462.438	560.758	630.4	536.7	638.15	143.76	143.61	171.15	14.9764	14.7136	15.5413	10.119	10.5892	1.7068	54.1459	50.1238	42.6368	74.4337	80.8927	53.2677	12.4611	9.5617	10.5807	135.8884	133.4913	125.9769	2.2389	2.2772	2.517	0.4579	0.6113	0.4302	0.8293	0.8129	0.8535	0.2513	0.2394	0.2145	0.5796	0.5285	0.3542	2.0065	2.0058	1.9974	9.69	9.56	10.21	567.5426	724.4729	826.1472	207.9101	165.3706	117.541	39.049	36.246	38.532	0.0786	0.118	0.1153	1.2575	1.2813	1.2525	429.0	441.0	430.0
HG01505	HG01503	HG01504	IBS	598.61	534.14	546.11	587.237	533.674	547.01	669.15	634.44	635.38	180.9	190.07	127.6	12.5457	18.3272	18.3314	11.3395	10.2415	2.5135	58.92	64.4999	48.9782	64.9898	69.5	57.6894	9.8979	10.2498	9.6273	135.7806	132.9401	154.1968	3.0194	3.7232	2.5797	0.5291	0.5714	0.5166	0.7871	0.7813	0.896	0.2391	0.2185	0.2338	0.9117	0.138	0.3199	1.9934	1.9838	1.9921	9.67	9.48	9.7	852.6647	896.3291	674.4911	110.7158	92.2001	72.2213	35.434	36.508	35.696	0.1672	0.105	0.098	1.1394	1.3257	1.2778	422.0	446.0	443.0
HG01508	HG01506	HG01507	IBS	487.44	503.65	522.44	475.962	502.073	523.036	580.77	569.84	596.95	242.02	146.33	217.52	20.3018	17.483	17.5331	10.7684	10.8999	1.811	54.789	53.2674	47.2614	69.9942	70.5516	53.7039	11.1969	9.6274	9.3076	148.5161	132.8961	133.6683	2.805	2.1907	2.5467	0.6419	0.4714	0.7081	0.8427	0.832	0.8253	0.2631	0.2364	0.2383	0.1862	0.4112	0.3317	1.9927	2.015	2.0087	9.75	9.47	9.48	810.701	983.1949	863.4616	248.569	110.1911	335.4717	40.183	36.409	36.179	0.0792	0.1049	0.1079	1.2782	1.2691	1.286	432.0	443.0	443.0
HG01511	HG01509	HG01510	IBS	449.3	371.46	297.6	442.658	373.893	295.22	537.41	423.58	335.27	206.01	160.81	160.67	20.7739	17.699	16.3747	1.4415	12.6947	1.0538	64.1221	56.6793	50.2902	60.4271	76.3075	53.8883	10.1778	12.495	10.5574	152.754	138.8552	142.538	2.7528	2.4015	2.9776	0.4889	0.5362	0.7273	0.8251	0.8364	0.8324	0.2589	0.2419	0.2422	0.5245	0.3898	0.2528	2.0047	2.0094	1.9949	9.75	9.53	9.45	721.1326	879.1166	780.0043	230.1691	174.4837	147.2156	38.773	34.347	34.948	0.0804	0.0988	0.1157	1.2782	1.2503	1.2287	445.0	444.0	439.0
