SAMPLE	AUTO_HQ_median	N_BINS
HG01433.by1000.	36.49	142070
HG01435.by1000.	33.37	142070
HG01437.by1000.	33.54	142070
HG01438.by1000.	34.6	142070
HG01439.by1000.	34.59	142070
HG01440.by1000.	33.33	142070
HG01441.by1000.	32.81	142070
HG01443.by1000.	31.75	142070
HG01444.by1000.	32.68	142070
HG01447.by1000.	34.82	142070
HG01455.by1000.	31.81	142070
HG01456.by1000.	32.5	142070
HG01457.by1000.	32.58	142070
HG01459.by1000.	32.46	142070
HG01461.by1000.	33.27	142070
HG01462.by1000.	33.45	142070
HG01463.by1000.	33.46	142070
HG01464.by1000.	33.9	142070
HG01465.by1000.	31.74	142070
HG01466.by1000.	32.33	142070
HG01468.by1000.	33.49	142070
HG01474.by1000.	31.14	142070
HG01479.by1000.	33.14	142070
HG01485.by1000.	33.64	142070
HG01486.by1000.	32.1	142070
HG01488.by1000.	34.01	142070
HG01489.by1000.	30.46	142070
HG01490.by1000.	32.01	142070
HG01491.by1000.	46.78	142070
HG01492.by1000.	32.76	142070
HG01493.by1000.	32.75	142070
HG01494.by1000.	33.42	142070
HG01495.by1000.	31.58	142070
HG01496.by1000.	32.17	142070
HG01497.by1000.	31.94	142070
HG01498.by1000.	31.49	142070
HG01499.by1000.	27.42	142070
HG01500.by1000.	31.44	142070
HG01501.by1000.	33.49	142070
HG01502.by1000.	35.43	142070
HG01503.by1000.	31.94	142070
HG01504.by1000.	31.67	142070
HG01505.by1000.	29.0	142070
HG01506.by1000.	32.23	142070
HG01507.by1000.	31.71	142070
HG01508.by1000.	36.25	142070
HG01509.by1000.	30.48	142070
HG01510.by1000.	30.38	142070
HG01511.by1000.	35.09	142070
HG01512.by1000.	30.65	142070
HG01513.by1000.	30.29	142070
HG01514.by1000.	34.34	142070
HG01515.by1000.	31.53	142070
HG01516.by1000.	33.17	142070
HG01517.by1000.	35.46	142070
HG01518.by1000.	32.39	142070
HG01519.by1000.	32.28	142070
HG01520.by1000.	30.29	142070
HG01521.by1000.	31.17	142070
HG01522.by1000.	32.4	142070
HG01523.by1000.	35.91	142070
HG01524.by1000.	30.89	142070
HG01525.by1000.	33.58	142070
HG01526.by1000.	37.98	142070
HG01527.by1000.	33.01	142070
HG01528.by1000.	31.63	142070
HG01529.by1000.	30.8	142070
HG01530.by1000.	31.99	142070
HG01531.by1000.	32.03	142070
HG01532.by1000.	35.05	142070
HG01536.by1000.	32.35	142070
HG01537.by1000.	31.76	142070
HG01538.by1000.	36.25	142070
HG01550.by1000.	32.05	142070
HG01551.by1000.	32.71	142070
HG01552.by1000.	32.57	142070
HG01556.by1000.	30.93	142070
HG01565.by1000.	40.41	142070
HG01566.by1000.	34.16	142070
HG01567.by1000.	35.34	142070
HG01571.by1000.	34.17	142070
HG01572.by1000.	30.72	142070
HG01573.by1000.	32.19	142070
HG01577.by1000.	32.97	142070
HG01578.by1000.	34.98	142070
HG01579.by1000.	35.37	142070
HG01583.by1000.	35.04	142070
HG01586.by1000.	32.23	142070
HG01589.by1000.	33.02	142070
HG01593.by1000.	33.74	142070
HG01595.by1000.	33.33	142070
HG01596.by1000.	35.0	142070
HG01597.by1000.	34.59	142070
HG01598.by1000.	32.07	142070
HG01599.by1000.	34.85	142070
HG01600.by1000.	34.25	142070
HG01601.by1000.	35.45	142070
HG01602.by1000.	31.25	142070
HG01603.by1000.	32.02	142070
HG01604.by1000.	37.04	142070
HG01605.by1000.	31.65	142070
HG01606.by1000.	30.6	142070
HG01607.by1000.	31.78	142070
HG01608.by1000.	30.93	142070
HG01609.by1000.	36.76	142070
HG01610.by1000.	31.28	142070
HG01611.by1000.	36.4	142070
HG01612.by1000.	32.61	142070
HG01613.by1000.	32.32	142070
HG01614.by1000.	35.29	142070
HG01615.by1000.	38.12	142070
HG01616.by1000.	35.6	142070
HG01617.by1000.	31.63	142070
HG01618.by1000.	31.09	142070
HG01619.by1000.	32.56	142070
HG01620.by1000.	30.38	142070
HG01621.by1000.	35.56	142070
HG01622.by1000.	34.54	142070
HG01623.by1000.	31.22	142070
HG01624.by1000.	32.32	142070
HG01625.by1000.	31.62	142070
HG01626.by1000.	35.78	142070
HG01627.by1000.	36.79	142070
HG01628.by1000.	30.53	142070
HG01629.by1000.	36.52	142070
HG01630.by1000.	31.35	142070
HG01631.by1000.	31.01	142070
HG01632.by1000.	30.84	142070
HG01633.by1000.	36.56	142070
HG01667.by1000.	34.45	142070
HG01668.by1000.	31.68	142070
HG01669.by1000.	31.87	142070
HG01670.by1000.	31.06	142070
HG01671.by1000.	35.35	142070
HG01672.by1000.	32.41	142070
HG01673.by1000.	32.25	142070
HG01674.by1000.	36.39	142070
HG01675.by1000.	30.86	142070
HG01676.by1000.	31.77	142070
HG01677.by1000.	34.72	142070
HG01678.by1000.	30.18	142070
HG01679.by1000.	31.66	142070
HG01680.by1000.	30.87	142070
HG01681.by1000.	36.77	142070
HG01682.by1000.	32.01	142070
HG01683.by1000.	34.44	142070
HG01684.by1000.	31.21	142070
HG01685.by1000.	30.48	142070
HG01686.by1000.	30.45	142070
HG01687.by1000.	35.17	142070
HG01694.by1000.	32.04	142070
HG01695.by1000.	31.86	142070
HG01696.by1000.	35.71	142070
HG01697.by1000.	31.78	142070
HG01698.by1000.	34.32	142070
HG01699.by1000.	32.87	142070
HG01700.by1000.	31.56	142070
HG01701.by1000.	34.42	142070
HG01702.by1000.	31.08	142070
HG01703.by1000.	36.55	142070
HG01704.by1000.	31.96	142070
HG01705.by1000.	31.29	142070
HG01706.by1000.	35.59	142070
HG01707.by1000.	31.82	142070
HG01708.by1000.	32.25	142070
HG01709.by1000.	32.94	142070
HG01710.by1000.	33.85	142070
HG01711.by1000.	35.83	142070
HG01746.by1000.	33.61	142070
HG01747.by1000.	34.31	142070
HG01748.by1000.	33.9	142070
HG01755.by1000.	33.57	142070
HG01756.by1000.	33.46	142070
HG01757.by1000.	32.87	142070
HG01761.by1000.	32.76	142070
HG01762.by1000.	32.79	142070
HG01763.by1000.	34.75	142070
HG01765.by1000.	31.6	142070
HG01766.by1000.	33.73	142070
HG01767.by1000.	34.22	142070
HG01768.by1000.	33.29	142070
HG01770.by1000.	32.44	142070
HG01771.by1000.	34.94	142070
HG01772.by1000.	36.65	142070
HG01773.by1000.	32.7	142070
HG01774.by1000.	35.04	142070
HG01775.by1000.	35.27	142070
HG01776.by1000.	30.51	142070
HG01777.by1000.	32.83	142070
HG01778.by1000.	33.78	142070
HG01779.by1000.	35.32	142070
HG01780.by1000.	35.4	142070
HG01781.by1000.	37.96	142070
HG01782.by1000.	34.48	142070
HG01783.by1000.	32.59	142070
HG01784.by1000.	32.87	142070
HG01785.by1000.	37.52	142070
HG01786.by1000.	51.5	142070
HG01789.by1000.	32.38	142070
HG01790.by1000.	32.33	142070
HG01791.by1000.	29.54	142070
HG01794.by1000.	32.59	142070
HG01795.by1000.	40.07	142070
HG01796.by1000.	33.67	142070
HG01797.by1000.	33.32	142070
HG01798.by1000.	46.18	142070
HG01799.by1000.	30.14	142070
HG01800.by1000.	33.16	142070
HG01801.by1000.	33.69	142070
HG01802.by1000.	33.98	142070
HG01804.by1000.	31.34	142070
HG01805.by1000.	31.64	142070
HG01806.by1000.	32.93	142070
HG01807.by1000.	32.19	142070
HG01808.by1000.	33.63	142070
HG01809.by1000.	34.41	142070
HG01810.by1000.	31.57	142070
HG01811.by1000.	32.64	142070
HG01812.by1000.	32.35	142070
HG01813.by1000.	35.14	142070
HG01815.by1000.	31.88	142070
HG01816.by1000.	34.75	142070
HG01817.by1000.	33.31	142070
HG01840.by1000.	33.37	142070
HG01841.by1000.	33.76	142070
